Names,Screen_name
Ron Estes ,RepRonEstes
Ron Kind ,RepRonKind
Ron Wright ,RepRonWright
Rosa DeLauro ,RosaDeLauro
Ross Spano ,RepRossSpano
Ruben Gallego ,RepRubenGallego
Russ Fulcher ,RepRussFulcher
Salud Carbajal ,RepCarbajal
Sam Graves ,RepSamGraves
Sanford Bishop ,SanfordBishop
Scott DesJarlais ,DesJarlaisTN04
Scott Perry ,RepScottPerry
Scott Peters ,RepScottPeters
Scott Tipton ,RepTipton
Sean Casten ,RepCasten
Sean Duffy ,RepSeanDuffy
Sean Patrick Maloney,RepSeanMaloney
Seth Moulton ,sethmoulton
Sharice Davids ,RepDavids
Sheila Jackson Lee,JacksonLeeTX18
Stacey Plaskett ,staceyplaskett
Steny Hoyer ,LeaderHoyer
Stephanie Murphy ,RepStephMurphy
Stephen F. Lynch,RepStephenLynch
Steve Chabot ,RepSteveChabot
Steve Cohen ,RepCohen
Steve King ,SteveKingIA
Steve Scalise ,SteveScalise
Steve Stivers ,RepSteveStivers
Steve Watkins ,Rep_Watkins
Steve Womack ,Rep_SteveWomack
Steven Horsford ,RepHorsford
Steven Palazzo ,CongPalazzo
Susan Brooks ,SusanWBrooks
Susan Davis ,RepSusanDavis
Susan Wild ,RepSusanWild
Susie Lee ,RepSusieLee
Suzan DelBene ,RepDelBene
Suzanne Bonamici ,RepBonamici
Sylvia Garcia ,RepSylviaGarcia
Ted Budd ,RepTedBudd
Ted Deutch ,RepTedDeutch
Ted Lieu ,RepTedLieu
Ted Yoho ,RepTedYoho
Terri Sewell ,RepTerriSewell
Thomas Massie ,RepThomasMassie
Thomas Suozzi ,RepTomSuozzi
Tim Burchett ,RepTimBurchett
Tim Ryan ,RepTimRyan
Tim Walberg ,RepWalberg
TJ Cox ,RepTjCox
Tom Cole ,TomColeOK04
Tom Emmer ,RepTomEmmer
Tom Graves ,RepTomGraves
Tom Malinowski ,RepMalinowski
Tom McClintock ,RepMcClintock
Tom O'Halleran ,repohalleran
Tom Reed ,RepTomReed
Tom Rice ,RepTomRice
Tony C�rdenas ,RepCardenas
Trent Kelly ,reptrentkelly
Trey Hollingsworth ,reptrey
Troy Balderson ,RepBalderson
Tulsi Gabbard ,TulsiPress
Val Demings ,RepValDemings
Van Taylor ,RepVanTaylor
Vern Buchanan ,VernBuchanan
Veronica Escobar ,RepEscobar
Vicente Gonz�lez ,RepGonzalez
Vicky Hartzler ,RepHartzler
Virginia Foxx ,VirginiaFoxx
Warren Davidson ,WarrenDavidson
Will Hurd ,hurdonthehill
William Timmons ,RepTimmons
Xochitl Torres Small,RepTorresSmall
Yvette Clarke ,RepYvetteClarke
Zoe Lofgren ,RepZoeLofgren
